Removed Audio Files:
mevlut
darulfunun
suheyl
atifet
babiali
kayi
ziri
sadiye
guzide
lamia
aletedevat
zerdustculuk
sirri
eyyami
batini
hayir
ikbali
enel
kubbei
berguzar
kose
sirin
lema
sidk
islahi
tealii
tevhidi
memaliki
fatir
leylei
sukran
gafurur
karamursel
tugrul
letaifi
cingene
heyeti
mehves
farki
nisabur
bektasi
vekaleti
oguz
osmanli
piri
magribi
kasim
habesistan
esarilik
eminonu
sefika
turkan
dakayikul
misir
mecalisun
muzeyyen
fatimiler
ilmel
bagdadi
gulab
resit
sahap
mesti
siraz
munci
turkmen
evraki
medinei
sarik
zulfikar
baku
kutubi
umidi
huda
kurdi
durdane
turkiye
muzdelife
hatti
hasimiye
sahni
ozbekistan
asgariucret
nukhet
mufide
hemsin
misakimilli
cemiyeti
mamuretulaziz
musfik
rifki
hulefai
datca
riza
muslime
omer
sebiarus
sevki
duldul
calut
saduman
kitabei
mecalisi
nazim
makami
aslavekata
surati
kurtce
icabi
hizir
seriye
ummeti
galati
hayrulbeser
firdevsi
gul
musluman
elmadag
meydani
usak
esar
sururi
rabbul
dairei
guvercin
tacut
kervankiran
yarani
muaveneti
husamettin
mescidi
hasimi
zuhal
bostanci
serte
kasri
katibi
kuvayimilliye
sirati
asiyan
sen
ifadei
asakiri
aydin
suha
munker
abuksabuk
koroglu
hafizai
makes
diyari
kizilbas
darulbedayi
hirka
takriri
suleymani
goynuk
danis
persembe
dimisk
mektebi
sancaki
mukremin
saban
mucella
i̇bni
naksi
hayrunnisa
esbabi
harezmi
turkiyat
darusselam
colpan
furuzan
alakulli
ganali
hattusas
meliksah
hikmeti
tugyan
sii
maveraun
sekbani
risaletun
muptelai
sengi
kudus
mursidi
merdikipti
kahta
munibe
sefik
mahkemei
cazibei
zuleyha
ebulbeser
turki
otagi
zevraki
sems
ulfet
eyup
sakip
jupiter
badel
rafizi
beytulharam
naside
yatagan
gulten
turkoloji
hadisi
kurani
fatima
hudavendigar
anasiri
sevketi
ismi
sehnaz
nasit
cakabey
muhrusuleyman
sukufe
ittihati
caglayan
ruzi
serveti
ruknettin
fethi
devleti
sehriban
suara
durzi
oguzname
hakkel
darulelhan
zuhre
bahadir
babusselam
samil
behlul
kelimei
seyhi
semsettin
turk
yecuc
tekvini
sevket
ask
mercidabik
reisi
irak
i̇mami
munir
ilani
sarkiyat
i̇lhanlilar
vamik
sureyya
babur
arzetmek
kubist
rakim
gulizar
gulcin
nefi
lalapasa
muhurdar
sukrani
kureys
duveli
hakimi
bulbulu
sirat
ruyi
uranus
hurrem
mevlana
ceridei
tercumani
saziye
tezkiretus

Removed Lab Files:
acik_ogretim
evkat_i
ifade_i
mest_i
hakk_el
kat_a
cam_i
alet_edevat
hayat_i
muhayyer_
menafi_i
dest_i
bezm_i
kufran_i
hubb_ul
salihat_i
mir_i
miktar_i
bad_el
nev_i
me_mul
yaran_i
hikmet_i
heyet_i
ruz_i
evrak_i
cihad_i
es_ar
nefs_i
millet_i
insan_i
iskat_i
esir_i
derece_i
ru_be_ru
hakim_i
gul_i
levh_i
lisan_i
hatt_i
ilm_i
lem_a
acik_oturum
seng_i
nur_u
pir_i
irca_i
tayy_i
kalem_i
icab_i
sahn_i
galat_i
kutbu_l
zevrak_i
nesim_i
vasf_i
diyar_i
vekalet_i
asgari_ucret
sayan_i
umid_i
cazibe_i
erbab_i
ru_yi
suret_i
kasr_i
eyyam_i
esbab_i
muavenet_i
esref_i
mel_un
anasir_i
netice_i
cahil_i
tuti_i
galib_i
eser_i
sevket_i
evlad_i
didar_i
abuk_sabuk
echel_i
makam_i
kar_i
hulus_i
ilm_el
cami_i
reis_i
feradis_i
kitabe_i
daire_i
evkaf_i
gul_ab
ferman_i
muptela_i
emr_i
mebani_i
tekvin_i
feth_i
mekatib_i
ser_te
kenz_i
kemal_i
cadde_i
bulbul_u
serv_i
hadis_i
ates_i
farz_i
fark_i
ikbal_i
fiil_i
ala_kulli
ittihat_i
ustad_i
tevhid_i
israr_i
ma_kes
sath_i
sukran_i
asla_ve_kat_a
zir_i
kita_i
salat_i
efrad_i
sohbet_i
kism_i
vatan_i
meydan_i
ilan_i
defter_i
kavs_i
katib_i
tul_i
kure_i
ma_delet
islah_i
hafiz_i
duvel_i
emir_ul
nam_i
terk_i
fasl_i
tab_an
surat_i
hal_i
ah_etmek
otag_i
menfaat_i
hak_i
ism_i
maraz_i
ene_l
sura_yi
mer_i
